1,27803,Rosemont—La Petite-Patrie,-73.605104337545,45.5284652940216,2,27803,Rosemont—La Petite-Patrie,-73.6065433714253,45.5284935656258
3,27469,Le Sud-Ouest,-73.5575604483626,45.4904964768581,4,27469,Le Sud-Ouest,-73.55825497491,45.4902054748268
5,26643,Kirkland,-73.8974565723402,45.4445692526669,6,26643,Kirkland,-73.9007724348331,45.4433768799557
7,26801,Lachine,-73.6707022137869,45.43097795934,8,26801,Lachine,-73.6709015394798,45.4311319863279
9,26925,Le Sud-Ouest,-73.5652699014679,45.4857002952185,10,26925,Le Sud-Ouest,-73.5649839367409,45.485991018453
11,26929,Ville-Marie,-73.5282851920046,45.5169860749462,12,26929,Ville-Marie,-73.5272503429346,45.5172674367647
13,26767,Verdun,-73.5456484855004,45.4714969197741,14,26767,Verdun,-73.5462686050043,45.4711364611016
15,26665,Lachine,-73.6793512949609,45.4280853512518,16,26665,Lachine,-73.6790573996544,45.4280562071087
17,26775,Verdun,-73.5937474712563,45.4439018298719,18,26775,Verdun,-73.593033262251,45.4435828762067
19,26725,Le Sud-Ouest,-73.5651215936105,45.4861085498947,20,26725,Le Sud-Ouest,-73.5649839367409,45.485991018453
21,26726,Le Sud-Ouest,-73.5550157874232,45.4907680442053,22,26726,Le Sud-Ouest,-73.554682482245,45.4907397691452
23,26731,Le Sud-Ouest,-73.5846609092741,45.4780613713324,24,26731,Le Sud-Ouest,-73.585118788855,45.4776136271141
25,26732,Le Sud-Ouest,-73.5745123386595,45.47834037589,26,26732,Le Sud-Ouest,-73.5750425789242,45.4787671861091
27,26733,Le Sud-Ouest,-73.588897765605,45.4753764279598,28,26733,Le Sud-Ouest,-73.5880861040137,45.4757935061168
29,26778,Verdun,-73.5653673377257,45.4542408242057,30,26778,Verdun,-73.566047453578,45.4534112204475
31,26683,LaSalle,-73.5879912458938,45.4328248959739,32,26683,LaSalle,-73.5881790849078,45.4325549748409
33,26782,Verdun,-73.5620889779054,45.4602749795313,34,26782,Verdun,-73.5630459321285,45.4573925956644
35,26856,Saint-Laurent,-73.7713703161514,45.5018544891806,36,26856,Saint-Laurent,-73.7709669468693,45.5016614404965
37,26857,Pierrefonds-Roxboro,-73.7618623278354,45.5048710890528,38,26857,Pierrefonds-Roxboro,-73.7621710289764,45.5050723057081
39,26859,Pierrefonds-Roxboro,-73.7651563759702,45.507320060831,40,26859,Pierrefonds-Roxboro,-73.7645199573225,45.5069380234494
41,26861,Pierrefonds-Roxboro,-73.7591984446391,45.5075057851125,42,26861,Pierrefonds-Roxboro,-73.7593961216138,45.507885969748
43,26680,LaSalle,-73.6271413469384,45.4499904244503,44,26680,LaSalle,-73.6268955026639,45.4498775864972
45,26874,Lachine,-73.6937702452907,45.4419710221719,46,26874,Lachine,-73.694447162788,45.4441500347077
47,26875,Lachine,-73.6838699844228,45.4327139476559,48,26875,Lachine,-73.6835786960567,45.4325114990467
49,26877,Ahuntsic-Cartierville,-73.6977740082373,45.54668095299,50,26877,Ahuntsic-Cartierville,-73.6972228252538,45.5463899090644
51,26878,Ahuntsic-Cartierville,-73.6977740082373,45.54668095299,52,26878,Ahuntsic-Cartierville,-73.6972930723349,45.5467754575712
53,26930,Ville-Marie,-73.528076547437,45.5025523913759,54,26930,Ville-Marie,-73.5275539962858,45.5029286530227
55,26945,Ahuntsic-Cartierville,-73.6570365425591,45.5795526001082,56,26945,Ahuntsic-Cartierville,-73.6577762150794,45.5792512173329
57,26946,Montréal-Nord,-73.6425446752145,45.6029591507908,58,26946,Montréal-Nord,-73.6431131699057,45.6006244675703
